bus_i,type,Pd,Qd,Gs,Bs,area,Vm,Va,baseKV,zone,Vmax,Vmin
1.0,1.0,90.0,49.0,0.0,0.0,1.0,1.0284,5.95,115.0,1.0,1.06,0.94
2.0,1.0,56.0,15.0,0.0,0.0,1.0,1.0354,7.74,115.0,1.0,1.06,0.94
3.0,1.0,20.0,0.0,0.0,0.0,1.0,0.9971,6.64,230.0,1.0,1.06,0.94
4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0308,4.71,345.0,1.0,1.06,0.94
5.0,1.0,353.0,130.0,0.0,0.0,1.0,1.0191,4.68,115.0,1.0,1.06,0.94
6.0,1.0,120.0,41.0,0.0,0.0,1.0,1.0312,6.99,115.0,1.0,1.06,0.94
7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9934,6.19,230.0,1.0,1.06,0.94
8.0,2.0,63.0,14.0,0.0,0.0,1.0,1.0153,2.4,115.0,1.0,1.06,0.94
9.0,1.0,96.0,43.0,0.0,0.0,1.0,1.0034,2.85,115.0,1.0,1.06,0.94
10.0,2.0,153.0,33.0,0.0,0.0,1.0,1.0205,1.35,230.0,1.0,1.06,0.94
11.0,1.0,83.0,21.0,0.0,0.0,1.0,1.0057,2.46,115.0,1.0,1.06,0.94
12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9974,5.21,230.0,1.0,1.06,0.94
13.0,1.0,58.0,10.0,0.0,0.0,1.0,0.9977,-0.55,115.0,1.0,1.06,0.94
14.0,1.0,160.0,60.0,0.0,0.0,1.0,0.9991,-4.81,115.0,1.0,1.06,0.94
15.0,1.0,126.7,23.0,0.0,0.0,1.0,1.0343,-8.59,115.0,1.0,1.06,0.94
16.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0315,-2.65,345.0,1.0,1.06,0.94
17.0,1.0,561.0,220.0,0.0,0.0,1.0,1.0649,-13.1,115.0,1.0,1.06,0.94
19.0,1.0,0.0,0.0,0.0,0.0,1.0,0.982,1.08,230.0,1.0,1.06,0.94
20.0,2.0,605.0,120.0,0.0,0.0,1.0,1.001,-2.46,115.0,1.0,1.06,0.94
21.0,1.0,77.0,1.0,0.0,0.0,1.0,0.9752,1.62,230.0,1.0,1.06,0.94
22.0,1.0,81.0,23.0,0.0,0.0,1.0,0.9963,-1.97,115.0,1.0,1.06,0.94
23.0,1.0,21.0,7.0,0.0,0.0,1.0,1.0501,3.94,115.0,1.0,1.06,0.94
24.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0057,6.02,230.0,1.0,1.06,0.94
25.0,1.0,45.0,12.0,0.0,0.0,1.0,1.0234,1.44,115.0,1.0,1.06,0.94
26.0,1.0,28.0,9.0,0.0,0.0,1.0,0.9986,-1.73,115.0,1.0,1.06,0.94
27.0,1.0,69.0,13.0,0.0,0.0,1.0,0.975,-4.9,115.0,1.0,1.06,0.94
33.0,1.0,55.0,6.0,0.0,0.0,1.0,1.0244,-12.02,115.0,1.0,1.06,0.94
34.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0414,-7.94,345.0,1.0,1.06,0.94
35.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9757,-25.72,115.0,1.0,1.06,0.94
36.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0011,-22.59,230.0,1.0,1.06,0.94
37.0,1.0,85.0,32.0,0.0,0.0,1.0,1.0201,-11.23,115.0,1.0,1.06,0.94
38.0,1.0,155.0,18.0,0.0,0.0,1.0,1.0202,-12.56,115.0,1.0,1.06,0.94
39.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0535,-5.81,345.0,1.0,1.06,0.94
40.0,1.0,46.0,-21.0,0.0,0.0,1.0,1.0216,-12.78,115.0,1.0,1.06,0.94
41.0,1.0,86.0,0.0,0.0,0.0,1.0,1.0292,-10.45,115.0,1.0,1.06,0.94
42.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0448,-7.44,345.0,1.0,1.06,0.94
43.0,1.0,39.0,9.0,0.0,0.0,1.0,1.0006,-16.79,115.0,1.0,1.06,0.94
44.0,1.0,195.0,29.0,0.0,0.0,1.0,1.0086,-17.47,115.0,1.0,1.06,0.94
45.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0215,-14.74,230.0,1.0,1.06,0.94
46.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0344,-11.75,345.0,1.0,1.06,0.94
47.0,1.0,58.0,11.8,0.0,0.0,1.0,0.9777,-23.17,115.0,1.0,1.06,0.94
48.0,1.0,41.0,19.0,0.0,0.0,1.0,1.0019,-16.09,115.0,1.0,1.06,0.94
49.0,1.0,92.0,26.0,0.0,0.0,1.0,1.0475,-2.95,115.0,1.0,1.06,0.94
51.0,1.0,-5.0,5.0,0.0,0.0,1.0,1.0253,-8.15,115.0,1.0,1.06,0.94
52.0,1.0,61.0,28.0,0.0,0.0,1.0,0.9979,-11.86,115.0,1.0,1.06,0.94
53.0,1.0,69.0,3.0,0.0,0.0,1.0,0.9959,-17.6,115.0,1.0,1.06,0.94
54.0,1.0,10.0,1.0,0.0,0.0,1.0,1.005,-16.25,115.0,1.0,1.06,0.94
55.0,1.0,22.0,10.0,0.0,0.0,1.0,1.015,-12.21,115.0,1.0,1.06,0.94
57.0,1.0,98.0,20.0,0.0,0.0,1.0,1.0335,-8.0,115.0,1.0,1.06,0.94
58.0,1.0,14.0,1.0,0.0,0.0,1.0,0.9918,-5.99,115.0,1.0,1.06,0.94
59.0,1.0,218.0,106.0,0.0,0.0,1.0,0.9789,-5.29,115.0,1.0,1.06,0.94
60.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0246,-9.56,230.0,1.0,1.06,0.94
61.0,1.0,227.0,110.0,0.0,0.0,1.0,0.9906,-3.47,115.0,1.0,1.06,0.94
62.0,1.0,0.0,0.0,0.0,0.0,1.0,1.016,-1.1,230.0,1.0,1.06,0.94
63.0,2.0,70.0,30.0,0.0,0.0,1.0,0.9583,-17.62,115.0,1.0,1.06,0.94
64.0,1.0,0.0,0.0,0.0,0.0,1.0,0.948,-12.97,230.0,1.0,1.06,0.94
69.0,1.0,0.0,0.0,0.0,0.0,1.0,0.963,-25.66,115.0,1.0,1.06,0.94
70.0,1.0,56.0,20.0,0.0,0.0,1.0,0.9513,-35.16,115.0,1.0,1.06,0.94
71.0,1.0,116.0,38.0,0.0,0.0,1.0,0.9793,-29.88,115.0,1.0,1.06,0.94
72.0,1.0,57.0,19.0,0.0,0.0,1.0,0.9696,-27.48,115.0,1.0,1.06,0.94
73.0,1.0,224.0,71.0,0.0,0.0,1.0,0.9775,-25.77,115.0,1.0,1.06,0.94
74.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9964,-22.0,230.0,1.0,1.06,0.94
76.0,2.0,208.0,107.0,0.0,0.0,1.0,0.9632,-26.54,115.0,1.0,1.06,0.94
77.0,1.0,74.0,28.0,0.0,0.0,1.0,0.9837,-24.94,115.0,1.0,1.06,0.94
78.0,1.0,0.0,0.0,0.0,0.0,1.0,0.99,-24.05,115.0,1.0,1.06,0.94
79.0,1.0,48.0,14.0,0.0,0.0,1.0,0.982,-24.97,115.0,1.0,1.06,0.94
80.0,1.0,28.0,7.0,0.0,0.0,1.0,0.9872,-24.97,115.0,1.0,1.06,0.94
81.0,1.0,0.0,0.0,0.0,0.0,1.0,1.034,-18.89,345.0,1.0,1.06,0.94
84.0,2.0,37.0,13.0,0.0,0.0,1.0,1.025,-17.16,115.0,1.0,1.06,0.94
85.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9872,-17.68,230.0,1.0,1.06,0.94
86.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9909,-14.19,230.0,1.0,1.06,0.94
87.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9921,-7.77,230.0,1.0,1.06,0.94
88.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0151,-20.96,230.0,1.0,1.06,0.94
89.0,1.0,44.2,0.0,0.0,0.0,1.0,1.0317,-11.13,115.0,1.0,1.06,0.94
90.0,1.0,66.0,0.0,0.0,0.0,1.0,1.0272,-11.23,115.0,1.0,1.06,0.94
91.0,2.0,17.4,0.0,0.0,0.0,1.0,1.052,-9.4,115.0,1.0,1.06,0.94
92.0,2.0,15.8,0.0,0.0,0.0,1.0,1.052,-6.2,115.0,1.0,1.06,0.94
94.0,1.0,60.3,0.0,0.0,0.0,1.0,0.993,-9.42,115.0,1.0,1.06,0.94
97.0,1.0,39.9,0.0,0.0,0.0,1.0,1.0183,-13.24,115.0,1.0,1.06,0.94
98.0,2.0,66.7,0.0,0.0,0.0,1.0,1.0,-14.6,115.0,1.0,1.06,0.94
99.0,1.0,83.5,0.0,0.0,0.0,1.0,0.9894,-20.27,115.0,1.0,1.06,0.94
100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.006,-14.45,115.0,1.0,1.06,0.94
102.0,1.0,77.8,0.0,0.0,0.0,1.0,1.0008,-15.23,115.0,1.0,1.06,0.94
103.0,1.0,32.0,0.0,0.0,0.0,1.0,1.0288,-12.06,115.0,1.0,1.06,0.94
104.0,1.0,8.6,0.0,0.0,0.0,1.0,0.9958,-17.33,115.0,1.0,1.06,0.94
105.0,1.0,49.6,0.0,0.0,0.0,1.0,1.0223,-12.94,115.0,1.0,1.06,0.94
107.0,1.0,4.6,0.0,0.0,0.0,1.0,1.0095,-16.03,115.0,1.0,1.06,0.94
108.0,2.0,112.1,0.0,0.0,0.0,1.0,0.99,-20.26,115.0,1.0,1.06,0.94
109.0,1.0,30.7,0.0,0.0,0.0,1.0,0.9749,-26.06,115.0,1.0,1.06,0.94
110.0,1.0,63.0,0.0,0.0,0.0,1.0,0.973,-24.72,115.0,1.0,1.06,0.94
112.0,1.0,19.6,0.0,0.0,0.0,1.0,0.9725,-28.69,115.0,1.0,1.06,0.94
113.0,1.0,26.2,0.0,0.0,0.0,1.0,0.97,-25.38,115.0,1.0,1.06,0.94
114.0,1.0,18.2,0.0,0.0,0.0,1.0,0.9747,-28.59,115.0,1.0,1.06,0.94
115.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9603,-13.57,115.0,2.0,1.06,0.94
116.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0249,-12.69,115.0,2.0,1.06,0.94
117.0,1.0,0.0,0.0,0.0,325.0,1.0,0.9348,-4.72,115.0,2.0,1.06,0.94
118.0,1.0,14.1,650.0,0.0,0.0,1.0,0.9298,-4.12,115.0,2.0,1.06,0.94
119.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0435,5.17,115.0,2.0,1.06,0.94
120.0,1.0,777.0,215.0,0.0,55.0,1.0,0.9584,-8.77,115.0,2.0,1.06,0.94
121.0,1.0,535.0,55.0,0.0,0.0,1.0,0.9871,-12.64,115.0,2.0,1.06,0.94
122.0,1.0,229.1,11.8,0.0,0.0,1.0,0.9728,-14.36,115.0,2.0,1.06,0.94
123.0,1.0,78.0,1.4,0.0,0.0,1.0,1.0006,-17.64,115.0,2.0,1.06,0.94
124.0,2.0,276.4,59.3,0.0,0.0,1.0,1.0233,-13.49,115.0,2.0,1.06,0.94
125.0,2.0,514.8,82.7,0.0,0.0,1.0,1.0103,-18.43,115.0,2.0,1.06,0.94
126.0,1.0,57.9,5.1,0.0,0.0,1.0,0.9978,-12.86,115.0,2.0,1.06,0.94
127.0,1.0,380.8,37.0,0.0,0.0,1.0,1.0001,-10.52,230.0,2.0,1.06,0.94
128.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0024,-4.78,230.0,2.0,1.06,0.94
129.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0028,-4.4,230.0,2.0,1.06,0.94
130.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0191,5.56,230.0,2.0,1.06,0.94
131.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9861,6.06,230.0,2.0,1.06,0.94
132.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0045,3.04,230.0,2.0,1.06,0.94
133.0,1.0,0.0,0.0,0.0,0.0,1.0,1.002,-5.46,230.0,2.0,1.06,0.94
134.0,1.0,0.0,0.0,0.0,0.0,1.0,1.022,-8.04,230.0,2.0,1.06,0.94
135.0,1.0,169.2,41.6,0.0,0.0,1.0,1.0193,-6.76,230.0,2.0,1.06,0.94
136.0,1.0,55.2,18.2,0.0,0.0,1.0,1.0476,1.54,230.0,2.0,1.06,0.94
137.0,1.0,273.6,99.8,0.0,0.0,1.0,1.0471,-1.45,230.0,2.0,1.06,0.94
138.0,2.0,1019.2,135.2,0.0,0.0,1.0,1.055,-6.35,230.0,2.0,1.06,0.94
139.0,1.0,595.0,83.3,0.0,0.0,1.0,1.0117,-3.57,115.0,2.0,1.06,0.94
140.0,1.0,387.7,114.7,0.0,0.0,1.0,1.043,-3.44,230.0,2.0,1.06,0.94
141.0,2.0,145.0,58.0,0.0,0.0,1.0,1.051,0.05,230.0,2.0,1.06,0.94
142.0,1.0,56.5,24.5,0.0,0.0,1.0,1.0155,-2.77,230.0,2.0,1.06,0.94
143.0,2.0,89.5,35.5,0.0,0.0,1.0,1.0435,4.03,230.0,2.0,1.06,0.94
144.0,1.0,0.0,0.0,0.0,0.0,1.0,1.016,-0.7,230.0,2.0,1.06,0.94
145.0,1.0,24.0,14.0,0.0,0.0,1.0,1.0081,-0.16,230.0,2.0,1.06,0.94
146.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0528,4.32,230.0,2.0,1.06,0.94
147.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0528,8.36,230.0,2.0,1.06,0.94
148.0,1.0,63.0,25.0,0.0,0.0,1.0,1.0577,0.28,230.0,2.0,1.06,0.94
149.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0735,5.23,230.0,2.0,1.06,0.94
150.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9869,6.34,230.0,2.0,1.06,0.94
151.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0048,4.13,230.0,2.0,1.06,0.94
152.0,2.0,17.0,9.0,0.0,0.0,1.0,1.0535,9.24,230.0,2.0,1.06,0.94
153.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0435,10.46,230.0,2.0,1.06,0.94
154.0,1.0,70.0,5.0,0.0,34.5,1.0,0.9663,-1.8,115.0,2.0,1.06,0.94
155.0,1.0,200.0,50.0,0.0,0.0,1.0,1.0177,6.75,230.0,2.0,1.06,0.94
156.0,2.0,75.0,50.0,0.0,0.0,1.0,0.963,5.15,115.0,2.0,1.06,0.94
157.0,1.0,123.5,-24.3,0.0,0.0,1.0,0.9845,-11.93,230.0,2.0,1.06,0.94
158.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9987,-11.4,230.0,2.0,1.06,0.94
159.0,1.0,33.0,16.5,0.0,0.0,1.0,0.9867,-9.82,230.0,2.0,1.06,0.94
160.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9998,-12.55,230.0,2.0,1.06,0.94
161.0,1.0,35.0,15.0,0.0,0.0,1.0,1.036,8.85,230.0,2.0,1.06,0.94
162.0,1.0,85.0,24.0,0.0,0.0,1.0,0.9918,18.5,230.0,2.0,1.06,0.94
163.0,1.0,0.0,0.4,0.0,0.0,1.0,1.041,2.91,230.0,2.0,1.06,0.94
164.0,1.0,0.0,0.0,0.0,-212.0,1.0,0.9839,9.66,230.0,2.0,1.06,0.94
165.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0002,26.31,230.0,2.0,1.06,0.94
166.0,1.0,0.0,0.0,0.0,-103.0,1.0,0.9973,30.22,230.0,2.0,1.06,0.94
167.0,1.0,299.9,95.7,0.0,0.0,1.0,0.9715,-6.91,230.0,2.0,1.06,0.94
168.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0024,-4.8,230.0,2.0,1.06,0.94
169.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9879,-6.68,230.0,2.0,1.06,0.94
170.0,2.0,481.8,205.0,0.0,0.0,1.0,0.929,0.09,115.0,2.0,1.06,0.94
171.0,2.0,763.6,291.1,0.0,0.0,1.0,0.9829,-9.94,115.0,2.0,1.06,0.94
